# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2600, i.e. number of multipoles equal to 2599
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  153       6.034310180802e-10       1.452625568023e-13      -6.191997388264e-12       9.553367684437e-16       3.065993017936e-12       6.068697781237e-13      -3.750775260717e-15 
  154       6.077637103449e-10       1.444334519934e-13      -6.186138702474e-12       9.690543830884e-16       3.008730455576e-12       5.983388172508e-13      -3.687777151873e-15 
  155       6.120664770201e-10       1.435510573910e-13      -6.176913485759e-12       9.828989024963e-16       2.952917746401e-12       5.899685366892e-13      -3.624839743885e-15 
  156       6.163378813933e-10       1.426170581444e-13      -6.164286374392e-12       9.968708830959e-16       2.898497509140e-12       5.817518171080e-13      -3.561934367197e-15 
  157       6.205764422299e-10       1.416332531892e-13      -6.148223748088e-12       1.010970873341e-15       2.845405139253e-12       5.736805870996e-13      -3.499028377502e-15 
  158       6.247806329755e-10       1.406015570184e-13      -6.128693770706e-12       1.025199413473e-15       2.793568664534e-12       5.657458037768e-13      -3.436085071489e-15 
  159       6.289488809591e-10       1.395240014523e-13      -6.105666430953e-12       1.039557035284e-15       2.742908600709e-12       5.579374333707e-13      -3.373063602594e-15 
  160       6.330795665949e-10       1.384027374094e-13      -6.079113583083e-12       1.054044261884e-15       2.693337807032e-12       5.502444318277e-13      -3.309918896744e-15 
  161       6.371711338778e-10       1.372399875763e-13      -6.049008823015e-12       1.068661535781e-15       2.644779323531e-12       5.426573122998e-13      -3.246618087163e-15 
  162       6.412224345237e-10       1.360378959973e-13      -6.015327018900e-12       1.083408996490e-15       2.597221958520e-12       5.351761435021e-13      -3.183191628912e-15 
  163       6.452324128801e-10       1.347986685055e-13      -5.978044816635e-12       1.098286682717e-15       2.550669363747e-12       5.278032248826e-13      -3.119686564565e-15 
  164       6.491999970874e-10       1.335246221590e-13      -5.937140840348e-12       1.113294601705e-15       2.505122433699e-12       5.205405559052e-13      -3.056150403527e-15 
  165       6.531240987934e-10       1.322181867860e-13      -5.892595732342e-12       1.128432728664e-15       2.460579243924e-12       5.133898285484e-13      -2.992631113781e-15 
  166       6.570036128685e-10       1.308819065288e-13      -5.844392193041e-12       1.143701006213e-15       2.417034989369e-12       5.063524198054e-13      -2.929177113642e-15 
  167       6.608374171193e-10       1.295184413889e-13      -5.792515020938e-12       1.159099343806e-15       2.374481922703e-12       4.994293841833e-13      -2.865837263507e-15 
  168       6.646243720041e-10       1.281305687713e-13      -5.736951152536e-12       1.174627617166e-15       2.332909292655e-12       4.926214462023e-13      -2.802660857605e-15 
  169       6.683633203469e-10       1.267211850294e-13      -5.677689702298e-12       1.190285667725e-15       2.292303282334e-12       4.859289928954e-13      -2.739697615753e-15 
